% start	end	CellId	TxBytes	RxBytes
34	35	1	58156	58156
34	35	5	95950	96419
34	35	4	92225	92225
34	35	4	29055	28746
34	35	2	87161	87161
34	35	1	96875	96100
35	36	5	105800	105800
35	36	2	55572	55572
35	36	4	33372	33372
35	36	2	60073	60073
35	36	1	104637	104637
35	36	5	27664	27748
35	36	1	28149	28149
35	36	4	48415	48415
35	36	2	79145	79145
35	36	4	48415	48415
35	36	1	105600	105600
35	36	2	19447	18614
35	36	2	82471	82343
35	36	1	48145	48145
35	36	4	48415	48415
35	36	2	25323	25323
35	36	4	13699	13167
35	36	2	55572	55151
35	36	1	24521	24521
35	36	4	37717	37717
35	36	5	25669	25004
35	36	1	35844	35844
35	36	4	22785	22785
35	36	5	105800	105800
35	36	1	60032	60032
35	36	5	98874	98874
35	36	4	92225	91450
35	36	4	33063	33372
35	36	2	87789	88386
35	36	1	99200	99200
36	37	5	105800	105800
36	37	2	53045	53045
36	37	4	33371	33371
36	37	2	59855	59855
36	37	1	105891	105891
36	37	5	25270	24871
36	37	1	38005	38005
36	37	4	48415	48836
36	37	2	79102	78505
36	37	4	48835	48414
36	37	1	105600	105600
36	37	2	15162	15029
36	37	2	67243	67840
36	37	1	43520	43211
36	37	4	48836	48836
36	37	2	24955	24955
36	37	4	13832	13699
36	37	2	53045	53466
36	37	1	26040	26040
36	37	4	35890	35890
36	37	5	25270	25004
36	37	1	38007	38007
36	37	4	17367	17367
36	37	5	105804	105804
36	37	1	63784	63784
36	37	5	103649	103180
36	37	4	111173	111045
36	37	4	33681	33681
36	37	2	80981	80981
36	37	1	104624	105399
37	38	5	105702	105702
37	38	2	53046	53046
37	38	4	33372	33372
37	38	2	61439	61439
37	38	1	106676	105709
37	38	5	27265	27132
37	38	1	37698	37698
37	38	4	48414	48414
37	38	2	77610	78207
37	38	4	48415	48415
37	38	1	105600	105600
37	38	2	15029	14630
37	38	2	60970	60970
37	38	1	45824	46133
37	38	4	48414	48414
37	38	2	25172	25172
37	38	4	13699	13433
37	38	2	53046	53046
37	38	1	25606	25823
37	38	4	33372	33372
37	38	5	27398	26600
37	38	1	37697	37697
37	38	4	17136	16653
37	38	5	105800	105800
37	38	1	62846	62846
37	38	5	111622	111622
37	38	4	105864	106767
37	38	4	32044	31827
37	38	2	76160	75691
37	38	1	104625	103850
38	39	5	105600	105600
38	39	2	53046	53046
38	39	4	33372	33372
38	39	2	60970	60970
38	39	1	105709	106676
38	39	5	29526	29127
38	39	1	38007	38007
38	39	4	48415	48415
38	39	2	73387	73387
38	39	4	47994	48415
38	39	1	105600	105600
38	39	2	14896	14763
38	39	2	61439	61439
38	39	1	44053	43744
38	39	4	48415	47994
38	39	2	24955	24738
